Transcript,Actual_Label,Predicted_Label,Phishing_Score(%),Is_Correct
안녕하세여 저는 파릇파릇한 20대여자에여. 안녕하세요 저는 50대 남자입니다~ 반가워요. 요즘 술을 너무 먹어 그런가.. 얼굴에 뾰루지가 너무 나네요.. 적당히 마셔요.. 젊을때는 나도 많이 마시긴 했지만 허허. 적당한게 좋긴하죠.. 제가 최근에 맘에 드는 남자가 생겨서.. 이런거 하나하나 신경 쓰이죠. 그럼 더더욱 술을 많이 마시면 안되죠! 그러다 실수라도 하면 어쩌려고. 그건또 안된답니다.. 새내기라 술약속이 계속 잡혀 있어요 !! ㅋㅋ그렇겟네요 진짜 젊었을때 많이 놀아요 나중에 후회하지 않게 ! 하 그남짜 때문에.. 일본어 동아리 까지 들었어요.. 일본어 관심도 없는데 ㅋㅋㅋ. 정말 마음에 드나봐요ㅋㅋ 관심없는 일본어 동아리까지 든거면 ㅋㅋ. 이게 제 전략이랄까요.. 그냥 얼굴 많이 마주치기.. 1차원 적이죠? 그렇네요 저는 좋아하는 사람생기면 바로 표현부터했어요 표현을 잘해서 ㅎㅎ. 제가 요즘 그냥 생각이라는게 귀찮아요.. 그냥 이정도면 괜찮은 전략 아닌가요. 그러시구나 맞아요 사람마다 자기에게 맞는 스타일이라는게 있으니까 응원할게요! 응원해주시다니 고마워요 !! 저는 수업이 있어서 가볼께요 !! 그래요 들어가요 ~ 어떻게되는지 꼭 알려주고 !!,정상,피싱,100.0%,X
좋은아침 ! 잘지내셨어요?? 아~ 잘지내고 있죠.. 잘되어 가세요?? 아ㅋㅋ 그남자요?? 그냥저냥 일단 동아리 활동 열심히 하고있어요.. 그래도 일본어는 많이 느시겠네요 ㅋㅋ. 그러니까요ㅋㅋ~ 날도 추운데 따뜻하게 입고 다니세요!! 감기 걸려요!! 저는 뭐 밖에 나갈일이 없어서 신경안쓰셔두되요! 일은 하실꺼 아니에요 일하실때 따뜻하게 입고 하세요 하하!! 아니 나야 방송영상 편집기사라서..항상 편집실에 박혀있는걸..뭐.. 그러시구나 ㅋㅋ 그러면 뭐 여튼 따뜻하게 입으라는말 !! 알겠습니다~ 걱정 감사해요 ㅎㅎ. 하 근데 문제가 뭐냐면.. 그 남자애가 기독교에요.. 아주 신실한.. 아 그렇구나 근데 그게 문제가되나요? 근데 제가 불교고.. 저희집안도 불교란 말이죠.. 교회까지 따라가긴 좀.. 그렇잖아요? 그건좀 그렇죠 ㅋㅋ 그렇게까지 할 필요는 없을것같아요. 그러니까요ㅋㅋㅋ 하 어쩌지.. 여튼 수업들으러 가볼께요 !! 나중에 연락할께요 !! 그래요~ 들어가요 !! 또 연락줘요 !!,정상,피싱,100.0%,X
좋은아침! 주말이네요~ 무슨 계획 있으세여?ㅎㅎ. 없어요 ㅠㅠ 저는 오늘도 편집실이랍니다.. 아이고.. 고생하십니다.. 저는 오늘도 숙취로 고생중.. 얼굴에 트러블도 계속 나고.. 쉬엄쉬엄 마셔요.. 건강도 조금씩은 생각하면서 ..ㅋㅋ. 그럴수 없답니다.. 새내기를 막지 말아주세요.. 그래요 뭐 나때도 그랬으니까 뭐라 말은 못하겠네요 ㅋㅋ. 저는 뭐 짬뽕이나 먹으면서 영화나 보려구요 ㅎㅎ 영화 추천 부탁드려요!! 더넌 봐요 재밌습니다 ㅎㅎ 저는 공포영화를 가끔보는데 재밌더라고요. 무슨 아침부터 공포영화에요 ㅋㅋㅋ 추천해달라한 제가 잘못이네요;; ㅋㅋ젊으신데 편견이 있으시네.. 음.. 그냥 @브랜드명1@나 보면서 해장 해야겠네요 ㅎㅎ. 오 거기 내가 편집한 영상도 있을수있어요 ㅋㅋ 잘찾아봐요~ 오 그런가요~ 재밌겠는데요 ㅋㅋㅋ 다음에 알려주세요 !! 그래요 기회되면 한번 알려드릴게요 ㅎㅎ. 네~ 저는 이만 해장 하러 가볼께요 !! 일 화이팅 하세요. 그래요~ 들어가요 해장 잘해요 !!,정상,피싱,100.0%,X
오늘도 일하시는거아니죠?? 일요일인데?? 일하는데요.. 아직도 편집실입니다..하.. 아니 집에 못들어 가신거아니죠? ㅋㅋㅋ 말이되냐고요.. 어저께부터 집도 못들어가고 밤새고 작업중이네요 ㅋㅋ. 아이고.. 식사는 제대로 하고 계세요..? 밥은 많이 먹었어요ㅋㅋ 살이 많이 쪄서 문제네요 ㅋㅋ. 그래도 그건 다행이네요.. 뭐 무슨 영상 편집 중이신데요?? 저는 영어교육영상 편집중이에요 ~ 으.. 진짜 지루하겠는데요 ㅋㅋ 괜찮으십니까!!! ㅋㅋ저는 영어를 좋아해서요ㅎㅎ. 그것 참.. 다행이네요 ㅋㅋㅋ 오늘 그거 하면 쉬시는거에요? 네 이것만하면 이제 쉽니다!! 거의 다 끝났네요. 저는 그남자랑를 포기했습니다.. 기억나세요 내가 말했던? 아~ 그 좋아한다던ㅎㅎ 왜요?? 나랑 안맞는게 너무 많아서요..ㅠㅠ 여튼 저는 약속때문에 이만 준비하러 가볼께요 !! 일 잘하세요 !! 네~ 들어가세요 !! 나중에 연락해요.,정상,피싱,100.0%,X
"안녕! 나는 20대 여자이고 국어국문학과에 재학중인 대학생이야 반가워! 안녕! 나는 20대 여자이고, 성공한 치과의사야~ 반갑다!! 와 치과의사 돈 많이 벌겠다! 부럽다~~~~!!! 난 아직 대학생인데!! 돈 많이벌면 모해..요새 삶이 무기력해서. 자주 초조해.. 많이 바쁘구나??? 왜 무기력해해ㅠㅠㅠ 돈이 다가 아니야?? 웅..워라벨이 최고여...해결방법이 없을까? 일을 그만둘순없고 ㅠ. 내종교는 원불교인데, 누가 그랬어 마음이 평안해야 모든 만물이 평안하다고! 나도 종교나 믿어볼까.. 조언 고마워!! 너는 요새 뭐하고 지내니? 웅 종교 추천해!!! 나는 요즘 맛집 투어중이야!!! 빵 맛집!!ㅎㅎ. 오호! 어떤 종류의 빵을 좋아해? 나는 양식을 좋아해서, 바게트 좋아해!! 오 바게트도 완전 좋아 겉바속촉 안에 앙버터 들어가도 미친 조합! 캬!! 침고이네 ㅎㅎ 너덕분에 기분이 많이 좋아졌어 고마워! 아 맞아 나 요즘 방탈출 게임도 자주 하는데, 너 해봤어?? 존잼~ 오 진짜? 나는 한번도 안해봤어 ㅠㅠ 그거 요새 엄청 핫하던데.. 웅 완전 스릴 넘치고 성취감 장난아님!! 너 무기력하다며 추천! ㅋㅋㅋㅋ해봐야겠네 ㅎㅎ 방탈출 클리어못하면 완전 창피하겠는걸? 아니면 내일 뭐해?? 나랑 같이 하러 가볼래?? 재밌을 거야~ 오 정말?? 너무 좋지 ㅠㅠ 마침 내일 일 쉬는날이거든!! 오 좋다!!! 그럼 내일 오후 다섯시에 학교앞에서 보자! 잘자 내일봐~ 좋아좋아!! 내 붕붕이로 데리러갈게! 기다리고있오 안녕~",정상,피싱,92.4%,X
"1 일 지났다!!!! 오늘 방탈출 할 준비 되었나 친구!!!!! 그럼!!그럼!! 공부도 다 해왔다구~ 거기서 사진도 찍자 ㅎㅎ. 아아아ㅏ아아아아아 친구야 미안 나 못나갈 것 같아ㅠㅠㅠㅠ짜증나. 엥? 무슨일임??? 큰일이야?? 왜그랭 ㅠ. 거울을 보고 왔는데, 얼굴에 왕 큰 여드름이 세개나 났어 진심 심각해. 홀리쓌 ㅠㅠ 어쩔수없겠네...내 동기 중에 피부과하는애 있는데 소개해줄까? ㅠㅠㅠ아 나 진짜 피부에 민감한데 진짜 화나네ㅠ 웅 소개해줘. 그니까 거기 완전 잘한다고 소문이 자자해! 나도 거기서 하거든 ㅎㅎ 기대해. 웅 알려줘 알려줘!!! 그리고 잘부탁한다고 전화도 한통 부탁해ㅠㅠㅠ. 당연하지!! 걱정하지마~ 너도 완전 맘에 들거야! 바로 전화해야겠다! 혹시 친구 찬스로 무료로 진행하는거야?? 나 돈없는 대학생이잖아~ ㅋㅋㅋㅋㅋ헤이~ 양심이 있지~ 근데 너 비용은 내 정액권에서 차감하라고 할게 ㅎㅎ. ㅋㅋㅋㅋㅋ오 역시 부자 친구는 다르구만??? 고맙다 고마워! 너가 최고야! ㅋㅋㅋㅋ별거아님~거기한번 받아보고 맘에들면 말해! 내가 이용권 끊어줄게! 하아 피부 나아지면 다시 방탈출 가자 내가 풀코스로 쏠게 그건 정말ㅠㅠ. ㅋㅋㅋㅋ구랭! 나는 양식좋아하니까 양식사줘~! 라라코스트!! 웅 알겠어 나 금수저야 비싼거 먹으렴!ㅎㅎㅎㅎ. ㅋㅋㅋㅋ학생이 돈이 어딨어~ 라라코스트도 충분히 비싸 ~! 나 람보탄다? 몰랐지? 담에 태워줄게! 람보타러 간다! 빠이. ㅋㅋㅋㅋㅋ@브랜드명1@?? 맞아?ㅋㅋㅋ 암튼 담에봐 바바이!",정상,피싱,100.0%,X
3 시간만에 돌아왔다 친구여! 고맙다 너덕에 시술 잘 받고 왔어. ㅋㅋㅋㅋ람보 잘 타고옴? 피부는 어떻게 됐어? 맘에들어? 웅 람보 타고 갔더니 다들 놀라던데? 여드름 박피하고 옴 완전 맘에들어! ㅋㅋㅋㅋ다행이다 ㅎㅎ 미용에 관심이 많구낭..여드름하나때매 약속을 펑크내다니ㅠ. 진짜 미안해ㅠㅠㅠ 근데 진짜 심각했단말여ㅠㅠ. ㅋㅋㅋㅋㅋ사실 들었어. 내 동기가 무슨 엄지발톱만한 여드름이라고 하던데? 웅 그니깐 그게 얼굴에 났다고 생각해봐 진짜 끔찍하지 않어??ㅠㅠㅠ. ㅋㅋㅋ그래도 잘 해결돼서 다행이얌 ㅎㅎ 이제 모행? 나 배고파서 파스타 해먹으라고!!!! 로제!ㅎㅎㅎ. 오오! 요리 잘해? 나도 요리 잘하고싶다 ㅠㅠ. 나 요리 그냥 그저그렇게 해! 담에 놀러와 해줄게~ 이거 또 기대하게 해놓고 약속 깨버리는건 아니겠지? 웅 절대! 네버! 안깰게!! 약속해!!! 너는 뭐해???? ㅋㅋㅋㅋ나는 티비보고있어!! @브랜드명2@!!존잼. 오 @브랜드명2@로 뭐봐??? 휴일날은 무조건 @브랜드명3@이지 인정! @브랜드명2@로 이태원클라쓰 보는중 ㅎㅎ @이름1@ 너무 멋졍. @이름1@ 존잘이지~~~ 이태원클라쓰를 이제 본다고? 난 본방 봤음. 나는 드라마 몰아보기를 좋아해서 본방은 잘 안봐 ㅎㅎ. 오늘 진짜 고마웠어! 내가 다음 우리 약속 때 꼭 다 살게ㅎㅎ 피곤해서 먼저잘게 안녕~ 알겠오 ~ 기대한다!!얼른자고 내꿈꿔 안뇽~,정상,피싱,100.0%,X
안녕! 5 일 만에 연락하네!!!! 칭구 오늘은 뭐해??? 내일은 뭐해??? 안녕! 오늘은 출근하고! 내일은 아무것도 안해!! 너는? 오늘도 여전히 바쁘구나ㅠㅠㅠ 나도 오늘은 학교가고 내일은 쉬어!! 그렇구나!! 학교생활 재밌니?? 엠티는 언제가? 엠티 가고싶다.... 나 늙어서 엠티 안가ㅎㅎㅎ 야 혹시 내일 방탈출 갈래? 드디어 방탈출!!! 나 기다렸다구~! 너무 좋지. 오케이 바로 예약한다! 우리 시간 단축하고 오자!!!! 기대된다. ㅋㅋㅋㅋ너무 좋지!! 기록세워보자 진짜! 그리고 끝나고 삼겹살먹자!! 좋아!!! 내가 구워줄게 나 고기 잘구워!!!! 장난 아님!!! ㅋㅋㅋㅋㅋ그래?? 나는 살짝 노릇노릇할떄 먹는거 좋아해!! 나는 거의 태우다 싶게 먹는거 좋아해!!! 우리 잘맞네ㅎㅎ. ㅋㅋㅋㅋㅋ뭐가 잘맞아!! 태우면 너무 딱딱해져!! ㅋㅋㅋㅋ아니 말이 그렇다는거지ㅎㅎㅎ 헤이 나랑 잘맞기 싫어? 아니~ 나 너무 좋아하지마~ 그럼 내일 쏘주도 한잔임? 웅 그러자 소주한잔 하자 소맥 마셔야지! 아 너 연맥 알어? 나는 쏘맥 기가막히게 말수있는데 ㅋㅋㅋ 연맥은 뭐야? 연태고량주 플라스 맥주 진짜 맛있다 내가 말아줄게~ ㅋㅋㅋㅋ대박이다 역시 학생은 다르구만 ㅎㅎ 기대돼 ㅎㅎ. ㅎㅎㅎㅎㅎ좋다 좋아 내일 보자~~!!! 내일은 늦지 않을게 안녕!!@ 그래 암튼 내일보자!! 오늘 하루도 마무리 잘하고!! 안뇽~!,정상,피싱,100.0%,X
안녕하세요. 저는 10대 여성이에요 와 어리시다 저는 30대 여성이에요 ~  저는 언니 좋아해서 친해지고 싶어요~ 사는 곳이 어디신가요? 저는 성남에 살아요 정말요 ~? 저는 서울 살아요 경호원 일을 하는데 혹시 연예인 좋아해요? 내가 보여줄 수 있어요 당장 보러 가도 될까요??? 성격이 급해서 바로 추진해야 직성이 풀려요 하하 저도 성격급한 O형인데 혈액형이 뭐에요?! 저는 AB형이랍니다. 제가 서울 가면 혹시 스파게티 드시겠어요?? 저는 스파게티를 즐겨 먹어요! 너무 좋죠 스파게티 생각하니 벌써부터 설레이네요. 제가 오전에 주로 동영상 채널를 보는데 아는 맛집이 있어요 어떤 스파게티 좋아하시나요? 저는 크림 종류는 다 좋아해요 저는 토마토 위주로 좋아하는데 같이 먹게 된다면 각 각 시켜야 겠어요 어차피 저는 세명분도 거뜬히 먹는답니다. 걱정하지 마세요 저도 그정도는 거뜬하니 우리 그 날은 파티를 즐겨보아요 네 ㅎ그런데 오늘은 제가 이만 학원을 가봐야 해서요 나가봐도 될까요? 네 우리 다음에 다시 이야기해요,정상,피싱,99.5%,X
 안녕하세요 4주만이네요~ 요즘도 오전에 유튜브를 보셨나요? 잘 지내셨어요?,정상,피싱,100.0%,X
" 엥 벌써 4주나 흘러버렸어요~? 시간 가는지 몰랐어요 누군가 제 시간을 도둑질 해간게 아닐까요  도둑질해간 사람 고소해버리시죠?! 경호원 일을 하다 보면 폭행사건으로 고소하는 경우도 더러 있나요? 내 많은 사람들을 제지하다 보니 감정이 격해져 상대방이 폭행으로 고소한적이 있어요 제가 생각해도 저의 입장과 상대방의 입장이 이해가서 안타까워요 제가 하는 일 자체가 누군가를 지키고 제지해야 하는 일이다보니 오해가 생길 수 밖에 없더라구요 그렇겠네요 저는 아직 학생이라 법에 대해 잘은 모르지만 세상을 슬기롭게 살아가려고 생활에 필요한 법은 알아두려고 노력하고 있어요.  오 그런 법관련 정보는 어디서 얻으시나요? 저는 법과 규칙 등 제도에 관련해서는 무지하답니다 요즘엔 인터넷에 많이 나와 있어서 관심 있는 법 검색해서 찾아봐요~  유튜브에도 법관련된 컨텐츠가 많이 올라오죠? 네 워낙 유튜브에 많은 컨텐츠를 주제로 다루는 영상들이 많다보니 여러가지 정보들을 얻을 수 있어요 저는 혈액형 관련 정보고 유튜브를 통하여 알게됐답니다 역시 요즘엔 너무 편하게 살 수 있는거 같아요 그만큼 지켜야 할 법도 많아진 것 같구요. 혹시 추천해주실 유튜브 있을까요? 제가 나와서 연예인을 경호하는 컨텐츠 영상이 제작된 적 있어요. 경호원의 직업을 사람들에게 알려주는 컨텐츠더라구요. 성남에 관한 컨텐츠를 주제로 한 영상도 있나요? 사실 성남에 가본적이 없어 계속 궁금했거든요 있는지 한 번 찾아봐야겠네요. 제가 좋아하는 스파게티 컨텐츠도 같이 찾아봐야겠어요! 스파게티는 언제나 맛있어요 저는 남은 소스에 밥도 비벼먹는답니다 친구도 그러시나요? 밥 비벼먹으면 리조또겠네요~ 맛있겠어요! 먹는 얘기가 나오니 밥 먹으러 가야겠네요~ 성격이 급한 저는 얼른 밥 차리러 가볼게요  네 저녁 맛있게 드세요 저도 일 보러 가보겠습니다""",정상,피싱,73.3%,X
안녕하세요 일주일 만이네요. 7일이라는 시간이 길고도 짧은거 같아요. 맞아요 저는 여전히 유튜브를 보며 하루를 보냈더니 시간이 금방 지나갔어요 어떤일이 있으셨나요? 성남에 불이 났는데 누가 일부러 질렀다더라구요 아마 방화죄로 잡히겠죠? 오 놀라워요 그런 일이 있었다니 안타깝네요 해당 기사는 유튜브를 통하여 보았어요 범인이 아직 잡히지 않은 것 인가요? 네 아직이요. 방화에 절도까지 했더라구요 가중처벌 받겠죠? 와 정말 위험했겠어요 저같이 경호일을 하는 사람이라도 범인이 들어오면 당황 할 것 같은데 말이에요 그러고보니 지금은 저녁시간이네요 저녁 메뉴는 고르셨나요? 역시 저녁에는 스파게티죠 이정도면 너무 즐겨 먹나요?님도 저녁메뉴 고르셨나요ㅠ  스파게티는 언제나 맛있어서 무죄입니다 저의 저녁은 김치찌개로 근사하게 요리할 예정이에요 오 저는 두끼도 거뜬하게 먹는데 지금 달려가도 될까요?  물론이지요 성남에서 서울을 오기까지 힘들지 않나요? 역시 성격이 급하셔서 벌써 올 생각부터 하시다니 너무 재밌는 분 같으세요^^ 하하하 요즘은 어떠신가요 세상이 시끌벅적하니 저는 심란해요 심란하시군요  하긴  요즘 크고 작은 사건들이 많았죠~ 법을 모두 잘지키는 사회가 되어야 할텐데요 맞아요 작은 사고들도 하물며 법과 규제를 어긴 사건이다보니 많은 사람들이 쉽게 그 선을 넘는 것 같아요 그렇네요. 이렇게 대화하다 보니 벌써 저녁시간이네요 이만 저녁식사하러 가볼게요 다음에 또 대화 나눠요 네 맛있는 저녁시간 되세요 ^^,정상,피싱,99.4%,X
안녕하세요 시간이 참 빠르죠 1주일이 벌써 지나갔으니까요 안녕하세요 벌써 7일이 지났다니 최근 유튜브를 통하여 안전사고와 관련된 기사를 보았어요 혹시 아시나요? 네 맞아요 책임자를 찾아 처벌해야 한다는 말만 하더라구요. 어떤 법을 적용해야 할지 애매하고 민감한데 말이죠 맞아요 이미 일어난 사건에 집중하기보단 이걸 규제 할 방법 등을 구상하는게 중요하다 생각해요 그 일은 참으로 안타깝지만요  역시 경호원이라 그런지 남자답고 멋진 생각이네요!  오해하셨지만 저는 여자입니다 여자가 경호원 일을 하시는 건 자주 보지 못한 일이라 종 종 오해들 하세요 죄송해요 저의 편협한 생각이 남자로 오해했네요. 더 멋있어요! 여성분이시면 경호하면서 법적으로 더 싸울일이 많은가요? 법적인 부분도 없지 않아 있지만 대부분 사람과 함께 겪어야 할 문제로 처치 시 오해가 생긴다면 법정공방까지도 갈 수 있다 봅니다 그래서 항상 조심하고 있어요 요즘엔 그런 세상이 되었네요 안타깝게도 님은 열심히 일을 할 뿐인데요! 저는 학생이라 학생폭력 관련해서 아주 민감하답니다. 그래서 그런 문제에 휘말리지 않으려고 조심하고 있어요 오 그러시군요 참 궁금한 것이 생겼습니다 저는 호기심이 많아서요 다른이 다름이 아니라 님은 성격이 급하다고 하셨는데 그럼 무단횡단에 대해서는 어떻게 생각하시나요? 무단횡단은 나와 운전자 모두 위험한 행동이라고 생각해요~ 괜히 어렸을 때 부터 교육하는게 아니지 싶어요 그래서 저는 지키려고 노력해요 와 멋진 말씀이네요 맞아요 요즘은 사회가 사고자를 원망하지 않고 무단횡단 한 사람에게 큰 죄가 있다고 정확히 말하는 것 같아요 저도 그 생각에 동감하구요 운전을 할 때면 사각지대 등에 가려져 보행자가 보이지 않는 경우 언제 어떻게 튀어나올지 예측할 수 없거든요 좋은 말 네 좋은 말 많이 나눴네요 저는 이만 저녁식사하러 갈게요 다음에 또 대화 나눠요! 식사 맛있게 하시구요 네 즐거운 저녁시간 되시길 바래요 ^^ 감사합니다,정상,피싱,98.7%,X
"안녕 나는 20대 여자이고 나는 학원 사회 강사야 반가워! 안녕! 나는 20대 여자이고, 철학을 부전공하고있어! 하이루~ 오 반가워! 친구네~! 나는 오늘 강의를 위해 아침 시사 뉴스 보는중 너는 뭐해!? 오우 대박 멋짐 ㅎㅎ 나는 아침에 음악들어 ㅎㅎ 학원 강사 힘들겠다 ㅠㅠ. 오 여유있어 완전 부럽다!ㅠㅠ 나 요즘 가끔 초조한데 추천해줘라 노래! 요즘 노래는 사실 트롯이지. 트롯은 너의 내면까지 춤추게할걸? ㅋㅋㅋ오 @이름1@ 요즘 핫하잖아? 사랑은 늘 도망가~ ㅋㅋㅋㅋㅋ맞아맞아! 나도 요새 @이름1@에 빠졌어... @이름1@ 몸도 좋아 ㅠ. @이름1@ 홈트레이닝 장난아니게 많이 한데 그래서 나도 요즘 가끔 하잖아ㅎ. 대박이넹 ㅎㅎ 나도 해봐야겠다. 영웅오빠랑 만나려면 나도 몸짱돼야지! 꿈깨 @이름1@은 일반인 안만난다!!!!ㅎㅎㅎㅎ. ㅋㅋㅋㅋ헤이; 나 철학가임; 꿈은 꿀수있을때 꾸는거라고생각해. ㅋㅋㅋㅋ그려 철학가 꿈을 잘 연구해보도록! 응원할게!! 고마워...얼른 홈트레이닝 장비같은것도 알아봐야겠다 ㅎㅎ. ㅎㅎㅎㅎㅎ나는 얼른 출근하러 가봐야겠다 오늘 대화 즐거웠어~ 오늘 대화 즐거웠어 !! 출근화이팅하고 담에 또 대화하장 안뇽~!",정상,피싱,99.9%,X
안녕! 2일만에 연락하네! 잘지냈어~~??ㅎㅎㅎ. 안뇽~!잘지냈지!! 너는 뭐하고 지냈니???ㅎㅎㅎ. 나는 이번주말에는 영화만 보면서 집콕했어ㅎㅎㅎ. 오우 나돈데!! 무슨영화봤어?나는 코미디영화 싫어해서 액션영화만봄 ㅎㅎ. 나는 코미디랑 멜로 좋아하는디ㅎㅎㅎ 나랑 영화취향 반대네! 그러겡 ㅎㅎ 코미디영화 너무 억지웃음이야 ~!~! 액션이 최고라구~! 그래도 마음이 따뜻해지고 행복해지잖아!! 나는 행복한게 좋아! 그렇구나.. 혹시 코미디영화 하나 추천해줄수 이썽?? 흐음 얼마전에 나온 공조2 봤어??? 그거 재밌데ㅎㅎㅎ. 아니 안봤어!! 무슨내용이야??궁금하넹ㅎ. 몰라 나도 안봐서ㅋㅋㅋㅋㅋ공조1은 봤는데 그것도 기억이 잘안넿ㅎㅎ. ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐야;;나도 공조 1은 봤엌ㅋㅋㅋ@이름2@존잘. ㅋㅋㅋㅋㅋㅋㅋㅋ칭구들이 재밌다더라고ㅎㅎ 같이 보러가실?? ㅋㅋㅋㅋㅋ코미디 싫은디..그거는 액션도 섞였으니까 ㄱㄱㄱ. ㅎㅎ코미디 편견을 깨주지ㅎㅎ오늘 대화도 즐거웠어 또 대화하자! ㅋㅋㅋ그래 기대해볼게! 오늘도 즐거운 대화였어!! 안뇽~,정상,피싱,99.9%,X
"하이 5일만에 연락하네! 요즘 타국가 이슈 터지는것때문에 바빴다. 하윙~! 그니까. 요새 여기저기 왤케 시끄러운거야 진짜 ; 중국에서 코로나 발생한 이후로 조용한 날이 없는거 같어. 그니까 도대체 언제쯤 완전 끝나는 걸까. 너는 백신 맞았니? 웅 맞았지.진짜 마스크 쓰고 다니는 것도 불편해 죽겠는데, 언제까지 지속해야해? 나는 아직까지 안맞았어! 나 슈퍼면역자인가? ㅎㅎ. 백신 맞는다고 코로나를 안걸리는게 아니라 아픈걸 좀 들 아프게 해주는거야 바보야. 그렇구나 ㅎㅎ 몰랐지뭐야~그럼 얼른 맞아야겠다 ㅎㅎ. 웅 얼른 맞어 나는 맞는거 추천해 정말!!!! 맘편하다구~ 화이자? 요새 아무곳이나가면 다 맞을수있는거지?? 흠 나도 모르겠네 인터넷 찾아봐봐 칭구야! 너 20대임! 나 핑프임 ㅎㅎ 찾아줘!! 귀찮단 마리야~! 미안 난 시간이 금인 사람이라 그런거 못해~~~!!! 너무행~! 나삐짐 ㅎㅎ 나 달래주려면 힘들텐디..감당가능? 몰라 나 얼른 출근해야겠다!!! 바쁘다 바빠 @브랜드명1@사회!! 다음에 또 대화하자 안녕~!!! 오우 쮔 ~! 나 울어~! ㅠㅠ 암튼 오늘도 화이팅하고 담에 또봐유~!",정상,피싱,99.8%,X
하아 2 일만에 연락하네! 오늘도 힘들었다ㅠㅠ 맥주한잔 해야지ㅠ. 그니까 하루하루가 왤케 힘드냐 정말;; 맥주한잔두잔세잔먹어! 맥주에 타코야키 하나 시켜서 먹어야겠다 너는 뭐하니??? 나는 @브랜드명2@ 틀어놓고 멍때리는중 .. 귀호강중이야 .. @브랜드명2@는 없는게 없지 뭘로 귀호강중이야?? 같이하자~ 비긴어게인 레전드 보는중~! 악뮤 수현이 노래 너무 잘행~! 나 팬할랭! 악동뮤지션 나 좋아해!!!! 찬혁이 요즘 킹받어!~~~~~ ㅋㅋㅋㅋ찬드래곤 무시 ㄴㄴ 요즘 제일 간지남;; 이찬혁 그 길거리에서 쇼파에 앉아있는거 봄? 완전 웃김! ㅋㅋㅋㅋㅋㅋㅋㅋ그니까 돌았음 ㄹㅇ 세종대왕인줄 ㅎㅎ 찬혁이 인생부럽다! 그니깐 찬혁이 완전 부자던데 그사세여 완전! 부럽다ㅠㅠㅠ. 그니까...돈을 얼마나 버는거야 도덕책;;아지트도 개많던데 ㅎㅎ. ㅋㅋ너 나혼자 산다 봤구나? 나도 봄ㅋㅋㅋㅋ 완전 부러움~ ㅋㅋㅋㅋㅋㅋ우리같은 아싸는 금요일에 집콕이지ㅎㅎ 존잼임 ㅎㅎ. 후 또 티비보러 가야겠다 안뇽 오늘도 대화 즐거웠어 바이! ㅋㅋㅋ나도 즐거웠어! 또 대화하장 안뇽! 룰루~!,정상,피싱,99.9%,X
"저는 30대 남자인데 그쪽은 나이가 어떻게 되시는가요?? 안녕하세요, 저는 20대 남자입니다! ㅋㅋ 저는 요즘 돈을 많이 벌고 있어서 참 기분이 좋네요! 그렇시군요! 정말 좋으실 것 같네요 ㅎㅎ 어떤 일을 하세요? ㅋㅋ제가 가구 디자이너인데 요즘 일잘러로 소문이 나서요! 오호.. 어떤 이유 때문에 일잘러로 소문이 나신 걸까요? 가구를 잘 만들거든요! ㅎㅎ그래서 요즘 사람들이 많이 찾아주어서 기분이 좋아요. 그러시구나, 정말 기분이 좋으실 것 같네요, 어떤 가구를 만들죠? 저는 소파를 가장 잘 만들어요! 소파 좋아하시나용? ㅋㅋ. 그러시구나, 저는 소파 정말 좋아하죠! 집에 여러 개 있습니다 ㅎ. 와 ㅋㅋ 그러시면 집이 참 넓으실 것 같아요! 부럽네요~ 주로 돌소파를 애용하고 있는데, 돌소파도 만드시는 걸까요? ㅋㅋ 사실 저는 돌소파는 싫어해서 안 만들어요! 유익한 대화였어요~ 아하! 나중에 한 번 그쪽이 만드시는 물건을 보고 싶네요! 또 연락해용.",정상,피싱,100.0%,X
